name,description,logo,job_type,job_detail,category
Django,"장고는 파이썬으로 작성된 오픈 소스 웹 애플리케이션 프레임워크로, 모델-뷰-컨트롤러 패턴을 따르고 있다. 현재는 장고 소프트웨어 재단에 의해 관리되고 있다. 고도의 데이터베이스 기반 웹사이트를 작성하는 데 있어서 수고를 더는 것이 장고의 주된 목표이다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_django_512x512.png,developer,backend,framework
Laravel,"라라벨은 자유, 오픈 소스 PHP 웹 프레임워크의 하나로, 테일러 오트웰이 개발하였으며 모델-뷰-컨트롤러 아키텍처 패턴을 따라 웹 애플리케이션을 개발하기 위해 고안되었다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_laravel_512x512.png,developer,backend,framework
Ruby on Rails,루비 온 레일즈는 루비로 작성된 MVC 패턴을 이용하는 오픈 소스 웹 프레임워크이다. 줄여서 레일즈라 불리기도 한다. 덴마크의 데이비드 하이네마이어 한슨 에 의해 시작되어 오픈 소스로 개발되고 있다.,https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_rubyonrails_512x512.png,developer,backend,framework
React Native,"Facebook에서 만든 오픈 소스 모바일 애플리케이션 프레임 워크입니다. 개발자가 기본 플랫폼 기능과 함께 React를 사용할 수 있도록하여 Android, iOS, 웹 및 UWP 용 애플리케이션을 개발하는 데 사용됩니다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_reactnative_512x512.png,developer,app,language
Flutter,"플러터는 구글이 개발한 오픈 소스 모바일 애플리케이션 개발 프레임워크이다. 안드로이드, iOS용 애플리케이션 개발을 위해, 또 구글 푸크시아용 애플리케이션 개발의 주된 방식으로 사용된다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_flutter_512x512.png,developer,app,language
Swift,스위프트는 애플의 iOS와 macOS를 위한 프로그래밍 언어로 2014년 6월 2일 애플 세계 개발자 회의에서 처음 소개되었다. 기존의 애플 운영체제용 언어인 오브젝티브-C와 함께 공존할 목적으로 만들어졌다. 오브젝티브-C와 마찬가지로 LLVM으로 빌드되고 같은 런타임을 공유한다.,https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_swift_512x512.png,developer,app,language
Objective-C,"오브젝티브-C는 C 프로그래밍 언어에 스몰토크 스타일의 메시지 구문을 추가한 객체 지향 언어이다. 현재, 이 언어는 애플의 매킨토시의 운영 체제인 OS X과 아이폰의 운영 체제인 iOS에서 사용되고 있다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_objectivec_512x512.png,developer,app,language
Kotlin,"코틀린은 JVM에서 동작하는 프로그래밍 언어이다. 2011년 7월, 젯브레인사가 공개하였다. 파일 확장자는 .kt 또는 .kts를 사용한다. 코틀린은 2019년 5월 7일 이후로 구글의 안드로이드 앱 개발에서 선호하는 언어가 되었다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_kotlin_512x512.png,developer,app,language
Java,자바는 썬 마이크로시스템즈의 제임스 고슬링과 다른 연구원들이 개발한 객체 지향적 프로그래밍 언어이다.,https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_java_512x512.png,developer,app,language
Sketch,"스케치는 프리랜서부터 세계 최대 규모의 팀에 이르기까지 백만 명 이상의 사람들이 사용하는 디자인 플랫폼이다. 스케치를 사용하여 아이디어 제작, 프로토타입 제작, 협업 및 실현이 가능하다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_sketch_512x512.png,designer,uiux,prototyping
Overflow,"오버플로우는 디자인을 user flow로 도식화할 수 있다. 프레젠테이션 참여, 신속한 프로토타입, 설계 도구를 통합하여 공유할 수 있는 디자이너를 위한 맞춤 툴이다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_overflow_512x512.png,designer,uiux,prototyping
Adobe,"어도비는 사용자에게 그래픽 디자인, 영상 편집, 웹 개발 응용 소프트웨어, 클라우드 서비스를 위한 기업 소프트웨어 제품군의 접근을 제공하는 어도비 시스템즈의 서비스이다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_adobe_512x512.png,designer,uiux,prototyping
Protopie,프로토파이는 소프트웨어 코딩이 필요 없는 디지털 제품의 인터랙티브 프로토타이핑 앱이다.,https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_protopie_512x512.png,designer,uiux,prototyping
Figma,"Figma 툴 한 가지로 설계, 프로토타입 및 피드백 수집이 가능하다. 팀으로서 더 나은 제품을 구축할 수 있도록 돕는다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_figma_512x512.png,designer,uiux,prototyping
Zeplin,"제플린은 프로덕트 팀을 위한 연결 공간이다. 핸드오프 디자인 및 스타일에 정확한 사양, 에셋, 코드 스니펫을 자동으로 적용한다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_zeplin_512x512.png,designer,uiux,management
InVision,인비전은 세계 최고의 사용자 경험을 제공하는 디지털 제품 디자인 플랫폼이다. 화면 전환을 쉽게 애니메이션화하고 마이크로 인터렉션을 추가하여 정적 화면을 작동하는 프로토타입으로 전환할 수 있다.,https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_invision_512x512.png,designer,uiux,management
